The number of inserted star motifs,Star,Order
1,0.041,15.116477
2,0.172,17.122347
3,0.182,14.152206
4,0.255,16.188692
5,0.244,17.433679
6,0.411,28.217341
7,0.353,21.361195
8,0.370,13.734733
9,0.360,32.725528
10,0.500,21.018298
11,0.738,17.118463
12,0.740,17.461533
13,0.763,89.110351
14,1.567,30.084256
15,1.378,25.801503
16,1.374,49.803916
17,1.382,24.594450
18,1.085,29.093399
19,1.121,15.900299
20,1.211,34.738445
21,1.472,40.676308
22,1.423,34.943691
23,1.352,55.968003
24,1.423,38.935869
25,1.466,26.043081
26,1.618,47.837200
27,1.576,40.464218
28,1.388,32.653236
29,1.324,18.402086
30,1.711,26.546364
31,1.342,59.749904
32,1.585,24.576573
33,1.669,16.341124
34,1.542,26.914374
35,1.670,30.363873
36,1.526,210.145289
37,1.553,51.634987
38,1.621,24.763373
39,1.617,18.132688
40,1.761,18.103503
41,1.567,20.520694
42,1.978,22.657658
43,1.770,24.290535
44,1.781,25.200975
45,1.710,36.934435
46,1.999,49.476683
47,1.678,17.643356
48,2.211,16.188643
49,2.288,32.508071
50,2.150,23.187865
51,1.844,19.883740
52,1.686,39.400192
53,1.998,22.047115
54,1.804,69.955510
55,1.736,31.280630
56,1.991,24.881104
57,2.143,35.157700
58,1.783,37.688104
59,1.729,20.265266
60,1.787,15.866594
61,1.925,29.879696
62,2.020,17.944877
63,2.384,24.545557
64,2.318,34.259514
65,2.211,33.101879
66,2.216,22.820526
67,1.922,34.433852
68,2.272,30.249421
69,1.833,41.419824
70,2.168,26.224150
71,2.676,33.568406
72,3.266,67.475085
73,5.826,24.101863
74,4.495,55.971105
75,6.362,42.504420
76,5.347,51.039252
77,5.472,33.303226
78,5.947,39.752170
79,6.854,26.343964
80,6.702,53.514732
81,6.699,43.989229
82,7.699,42.723802
83,7.554,40.111655
84,6.897,51.533680
85,7.878,25.964392
86,6.747,25.473850
87,6.808,26.772739
88,6.815,24.430149
89,5.975,22.233924
90,6.766,21.636112
91,7.051,43.482688
92,6.195,25.490862
93,8.092,30.886427
94,6.047,23.046691
95,6.706,30.204455
96,10.170,22.211382
97,6.867,23.355420
98,6.617,22.731639
99,6.779,27.794979
100,6.895,22.402189
