Timestamps,Star,Order,XH
1,20.453,123.356931,73.696
2,40.180,103.410240,176.552
3,32.854,99.033493,105.133
4,39.094,98.427616,153.255
5,34.027,100.131137,107.102
6,27.769,97.728895,104.422
7,43.447,99.790432,149.616
8,26.368,97.726147,88.729
9,31.422,98.262897,127.555
10,19.920,95.195494,60.171
11,49.621,105.071930,186.525
12,30.396,97.947416,103.771
13,29.298,100.117951,78.294
14,26.768,96.969091,82.284
15,26.421,97.625604,84.606
16,33.629,100.069231,125.423
17,36.426,98.729490,208.277
18,24.129,96.895649,69.238
19,30.281,100.706117,139.672
20,28.691,98.071306,107.501
21,26.687,96.273603,88.371
22,53.589,128.209364,111.013
23,26.659,97.710160,71.003
24,24.085,96.470387,69.962
25,32.502,100.759817,121.607
26,31.103,98.677661,160.689
27,20.306,94.522143,73.849
28,23.473,94.830548,92.117
29,24.415,97.245739,71.257
30,22.749,97.298763,62.508
31,17.918,93.225520,59.909
32,15.886,93.453885,69.408
33,26.355,97.327958,100.177
34,23.332,95.997760,74.508
35,15.549,93.666539,49.609
36,17.818,95.221636,103.134
37,27.302,97.185199,81.329
38,19.256,94.563336,50.722
39,29.036,95.371568,90.822
40,19.450,95.013702,61.763
41,23.168,96.637203,75.364
42,16.716,93.376409,77.197
43,21.237,95.431324,65.088
44,19.886,94.057486,70.974
45,22.238,96.009237,63.841
46,29.970,97.986475,84.903
47,30.600,95.346399,103.787
48,16.605,94.134770,69.641
49,23.243,95.653573,78.178
50,19.387,94.560393,61.118
51,25.655,95.554222,69.477
52,20.017,94.717864,60.631
53,16.577,93.318828,58.629
54,13.788,92.466622,58.533
55,16.587,93.758585,72.320
56,17.252,94.117518,75.305
57,14.863,92.930730,62.572
58,11.503,91.374621,44.308
59,22.923,93.095253,53.397
60,15.156,93.277503,69.392
61,12.767,92.052984,50.507
62,11.991,91.169859,77.043
63,13.489,92.007627,60.300
64,15.363,93.189440,56.630
65,15.432,93.734587,61.541
66,16.532,93.456022,71.348
67,13.403,92.052816,62.380
68,13.315,92.475067,49.524
69,10.818,92.277757,56.739
70,11.539,92.107144,58.749
71,11.414,92.488954,56.292
72,11.565,91.195694,47.720
73,12.294,92.654279,71.174
74,6.609,89.650828,47.953
75,9.089,89.959735,39.584
76,9.954,90.910244,63.808
77,9.623,90.958876,53.688
78,5.961,89.497376,35.639
79,6.329,89.138443,47.219
80,3.668,88.113657,39.757
81,4.211,88.400367,34.427
82,4.563,88.986829,34.995
83,5.255,88.838100,52.190
84,3.611,88.577507,34.698
85,5.448,89.570391,39.902
86,5.149,88.937200,42.522
87,3.647,88.459325,36.487
88,3.551,88.704346,40.730
89,3.550,88.187504,32.540
90,4.883,88.593981,38.785
91,4.956,88.900924,40.389
92,2.758,88.125072,33.661
93,2.463,87.930070,31.322
94,2.797,88.344226,32.498
95,1.144,86.709350,28.896
96,0.934,86.978730,28.702
97,1.000,87.063477,28.495
98,1.423,86.876025,29.340
99,1.481,87.352232,28.553
100,1.227,86.548250,29.346
